#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B21C9E
#Date Time: 2024-03-03 18:10:57.504
#Start: 10 Hz
#Stop: 20000 Hz
#Steps: 10001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55361 V
#Offset: -0.000184537 V
#Relative: no
#Channel: Channel 2
#Range: 5.63147 V
#Offset: -0.000217631 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 2 Magnitude (dB),Channel 2 Magnitude THD+N (dB),Channel 2 Phase (deg)
10.00000000000001,-0.1311524492774329,-59.95690795062515,-0.2663141566726183,-52.97393471958298,24.16351355244503
10.00760379187748,-0.1308490360248767,-59.89417036915807,-0.2649722332364943,-54.8349372812353,24.10266816113916
10.01521336552006,-0.1310403210768978,-59.94510826432848,-0.2641241748203704,-55.59305067155347,24.06293539111925
10.02282872532404,-0.1309016866936424,-58.50533209534956,-0.2627417620701417,-55.5092304363938,24.02988297173071
10.03044987568915,-0.1308086498814288,-59.32055795785516,-0.2619487310752933,-56.31179757351429,23.99971165257186
10.03807682101836,-0.1308893555889816,-59.96385466781541,-0.2611637571305001,-56.97625485663545,23.9714992495434
10.0457095657181,-0.1307242503243388,-59.26417973602867,-0.2605306385216725,-56.85564098507952,23.94661688878323
10.05334811419802,-0.1306403346056821,-59.18384107207628,-0.2600500092657427,-56.93152103867737,23.92238465020016
10.06099247087125,-0.1307930182066758,-57.62631414265768,-0.2595183776986585,-56.02218085829791,23.8984922758637
10.06864264015418,-0.1308665390881188,-58.31146950093091,-0.2587190307284493,-56.54200017078693,23.87508229699112
10.07629862646663,-0.1306176856258994,-60.16578240804517,-0.258171092514931,-57.87432495498274,23.85199741162722
10.08396043423172,-0.1306227306496821,-59.21236626263671,-0.2580659546712371,-57.20959403806692,23.82921462589735
10.09162806787599,-0.1305737409817103,-58.79252208157279,-0.257267147813362,-57.22138386512847,23.80605826071866
10.09930153182929,-0.1304913250066798,-56.87613637170908,-0.2570762647977826,-56.46582166820407,23.78436814395103
10.10698083052487,-0.1305530300830258,-59.99997883382648,-0.2565005138177485,-58.296399036945,23.76099861161661
10.11466596839937,-0.1305333108729343,-60.00580962180241,-0.2559342087116173,-58.15092675925021,23.73997799903455
10.12235694989277,-0.1304361428245893,-60.11961803012479,-0.2554904648607495,-58.22647681319748,23.71732630773508
10.13005377944843,-0.1303900574383921,-59.95968912137148,-0.2550836494637779,-58.17144427167954,23.6962288563084
10.13775646151308,-0.1302650019165313,-59.71306214809077,-0.2545961336530387,-58.18831527248173,23.67429561813739
10.14546500053688,-0.130253187298298,-60.17804194141972,-0.2540199045158898,-58.50101894375757,23.65221991471134
10.1531794009733,-0.1303691445311959,-60.21853222405485,-0.2533693430731599,-58.53917932294106,23.63071034251888
10.16089966727928,-0.1300635150986059,-60.0694625122642,-0.2533250870040963,-58.49955005125925,23.60804065535498
10.16862580391507,-0.1302564909290304,-60.16355660603018,-0.2528002450697038,-58.511970713605,23.58819744713816
10.17635781534436,-0.1302066572315,-60.15208578380742,-0.2522438128342463,-58.69644583324327,23.56666444249245
10.18409570603422,-0.1302750650589829,-60.20518155603993,-0.2515424946275359,-58.60669355429395,23.54453629193626
10.19183948045513,-0.1301647021115518,-60.19516246951816,-0.2511247025397685,-58.45597761304837,23.52237608170831
10.19958914308094,-0.1301950571152171,-59.63615582689126,-0.2503738350159208,-58.28105909371376,23.5010650079368
10.20734469838891,-0.1302846197399891,-60.2639584639106,-0.2500108834029336,-58.53138706214569,23.48019565840316
10.21510615085974,-0.1302599372177414,-58.60262507586539,-0.2495945070036887,-57.24317723789276,23.45744627497263
10.22287350497748,-0.1302791894905949,-60.48272063615751,-0.2491758697712336,-58.86426529170183,23.43643155351181
10.23064676522965,-0.1300412283116959,-60.38061417392538,-0.248807233283496,-58.79394008777854,23.41518092705121
10.23842593610712,-0.1300581657769573,-60.32688108443654,-0.2482794118095309,-58.81503110089377,23.39348897609219
10.24621102210424,-0.1299526468743227,-57.84811316384543,-0.2477841652094419,-56.67799101969609,23.37262838592603
10.25400202771871,-0.1300607683587416,-60.2233089740636,-0.2473473083662246,-58.75730691663428,23.34981017947405
10.26179895745172,-0.1299569601341231,-59.47389477769831,-0.2470139110750798,-58.19237546431726,23.32957957719263
10.26960181580781,-0.1299602899503717,-59.52752813662723,-0.2463097629728727,-58.39448586345478,23.30723678704445
10.27741060729502,-0.1298841836677588,-60.38643544364231,-0.2459600434820705,-58.76201639600467,23.2845169606701
10.28522533642475,-0.1298191854842321,-60.50122255803578,-0.2454695618146302,-59.03820411526176,23.26293662805733
10.29304600771186,-0.1298517199485863,-60.44163792703046,-0.2450482917966584,-58.90026951283821,23.24167843009158
10.30087262567466,-0.1298792430152972,-60.25425506680763,-0.2445840714950181,-58.82961252217108,23.21927106592577
10.30870519483485,-0.1298062024262505,-59.32758870284052,-0.244302208847855,-58.04575497494434,23.19976196964731
10.31654371971764,-0.1297491514439927,-58.84756591163823,-0.2440543554411826,-57.74613618275943,23.17663939250534
10.3243882048516,-0.129730059136721,-59.22392109837074,-0.2437430139382914,-57.94682136502902,23.155273035606
10.3322386547688,-0.1298190815266957,-59.97376533765576,-0.2429426439458439,-58.55736091615712,23.13357304643226
10.34009507400473,-0.1300171138009709,-60.50695163084588,-0.2423922594485034,-58.9303220643252,23.11210441244049
10.34795746709834,-0.1299931499538133,-60.40068323563516,-0.2418444078374254,-58.99437594764056,23.09012192029481
10.35582583859202,-0.1299596756338032,-60.15857728260037,-0.2414916487141692,-58.90596748224138,23.06958498929351
10.36370019303162,-0.1299731348387114,-58.24381311545996,-0.2408856336564873,-57.08165851688229,23.04713913382243
10.37158053496647,-0.1300752612127826,-60.3215017421942,-0.2403544334377111,-58.89192565930087,23.02521444943682
10.3794668689493,-0.129879995722303,-58.16491023933704,-0.240039609513768,-56.97296439630343,23.00401819387989
10.38735919953637,-0.129973774660039,-59.0401644924158,-0.2396747143665146,-58.04667323434476,22.98279563848779
10.39525753128736,-0.1298583675325204,-60.52572153692536,-0.2392436923847632,-58.92221540078925,22.96075135107053
10.40316186876543,-0.1298043360710756,-58.16048324280562,-0.2389972598726579,-57.0908312477375,22.93970862620591
10.41107221653721,-0.1301182826946623,-58.26018488957412,-0.2386065958038594,-57.33485586963945,22.91725282071315
10.41898857917281,-0.1303703919632612,-60.44906659608947,-0.2382447571127637,-59.01065567983296,22.89600317334379
10.42691096124579,-0.1299985623833356,-60.44658995638439,-0.2381858038296997,-59.09060737239419,22.8741451405478
10.43483936733323,-0.1301249863462286,-60.60096582629583,-0.2370088444418803,-59.04546168316646,22.85296226161879
10.44277380201564,-0.1298578727023729,-59.08328329265657,-0.2366127047342943,-57.8309978575977,22.83061334633719
10.45071426987704,-0.1299282995407845,-60.17861895125623,-0.2361856971167049,-58.60112511791615,22.80923972213218
10.45866077550496,-0.1298790199285495,-60.54089398501794,-0.2358811513637658,-58.90141473830689,22.78723888477822
10.46661332349036,-0.1298534177821091,-60.30678711221518,-0.2355103296553726,-59.02698389334391,22.76542564204124
10.47457191842776,-0.1299040738631796,-59.34845619845105,-0.2350553009509944,-57.98720422930181,22.7436676639693
10.48253656491509,-0.1299196413202763,-59.15743609708543,-0.2343566927795986,-57.98734716222214,22.72251778256368
10.49050726755386,-0.1298962379383223,-60.60280508601685,-0.2339103788985041,-59.21940368937221,22.70125881669492
10.49848403094902,-0.1299253490390021,-59.28368294503062,-0.2336222120468083,-57.9858072415638,22.6785574836806
10.50646685970906,-0.1298068459641441,-60.69988640177527,-0.2329694936785213,-59.2608731595338,22.65715143727737
10.51445575844595,-0.1299472638865093,-59.51838559471898,-0.2324445090062739,-58.33684028504258,22.63389089321014
10.52245073177518,-0.1298731729999341,-60.56013147872724,-0.2325086645694602,-59.12321810324102,22.61356335614283
10.53045178431571,-0.1297967997531109,-60.42786286277388,-0.2318882224479568,-58.94921380387417,22.59195847890003
10.5384589206901,-0.1298037743579172,-60.77542690697938,-0.2312916976172249,-59.24037962077691,22.57029637671247
10.54647214552432,-0.1298932336405185,-60.47613335526988,-0.2311252967729449,-59.09652473705381,22.54927552101265
10.55449146344793,-0.13030597470114,-58.27025138237608,-0.2301589550576774,-57.27906282878375,22.52746904464937
10.56251687909401,-0.1299252111476478,-60.3309583387976,-0.2300573373328121,-58.88190037195515,22.50506767338415
10.5705483970991,-0.1300317576716922,-60.70360882537624,-0.2300027592676012,-59.20159249721639,22.48358277523761
10.57858602210334,-0.1301423599550041,-60.16441488349236,-0.2295596053659536,-58.7568380496798,22.46299721792958
10.58662975875034,-0.1299128297102956,-60.56476748470406,-0.2291929738560396,-59.01384010040228,22.43845851401825
10.5946796116873,-0.1299836727584628,-58.41764809711933,-0.2289601681763739,-57.47064841881852,22.41766373437608
10.60273558556488,-0.1299468643231239,-58.47889333625478,-0.2290299342461882,-57.51911507047807,22.39498080007907
10.61079768503734,-0.1300583641520298,-60.59411012239189,-0.2288160035365965,-59.32061162360511,22.37255342752744
10.61886591476244,-0.1301780279628864,-60.38703785984077,-0.2277801736656541,-59.02579078417275,22.35326476175518
10.62694027940151,-0.1302503291109014,-59.62312764260989,-0.2271573014500481,-58.51086379924339,22.33038942568501
10.6350207836194,-0.1303485575973661,-59.8375156690493,-0.2268209792348421,-58.6132198475409,22.30768077239031
10.64310743208454,-0.1301769085744996,-60.70395440209894,-0.2267448352476771,-59.10439338671072,22.28622551299867
10.65120022946885,-0.1302324054537936,-60.7860481001699,-0.2261869128393807,-59.22539173778046,22.26532700243439
10.65929918044787,-0.130045359953392,-58.85947378813172,-0.225469872178391,-57.82118000378928,22.24339766999932
10.66740428970066,-0.1301209994518515,-58.58970995669959,-0.2245073813930058,-57.49746729443133,22.22162719279149
10.67551556190985,-0.1303126235995397,-59.83867738604801,-0.2240119022973961,-58.56576673973522,22.19896473619482
10.68363300176161,-0.130453851274616,-60.74023374433493,-0.2235896663949861,-59.18872133000228,22.17775516688922
10.69175661394568,-0.1301820474403989,-60.51079242261541,-0.2232278126923614,-59.25662748311921,22.15580465618274
10.69988640315539,-0.13012164865963,-60.86377867732107,-0.2233769841970064,-59.21823475862767,22.13444642512786
10.70802237408762,-0.1300622639400751,-60.73850416019687,-0.2230161077119537,-59.33574287370049,22.11322042865363
10.71616453144281,-0.1302356164463862,-58.77460744628141,-0.2220938423899538,-57.58903248378364,22.09159311235733
10.724312879925,-0.1303652480351654,-58.81085279183441,-0.2215417638862561,-57.74479756209067,22.06871589219989
10.73246742424179,-0.1301984826407115,-60.74927589296458,-0.2211456269409556,-59.25531631952501,22.04725101722261
10.74062816910436,-0.1302661424744309,-60.62343455917285,-0.2202433833942373,-59.05373687352252,22.02589532705429
10.74879511922749,-0.1301390337703286,-60.5954335676558,-0.2201999806566829,-59.237844947813,22.00312034613691
10.75696827932953,-0.1301430140585743,-59.04980902094898,-0.2197380421371775,-57.83760296650071,21.98102092012125
10.76514765413238,-0.1301609631858041,-60.68873802053226,-0.2190482893040109,-59.34665887759876,21.95891770881951
10.77333324836163,-0.1303503127286615,-60.55905087129482,-0.2184041942769306,-59.26629730629762,21.93830131917812
10.78152506674635,-0.1302744354287823,-60.73405660291715,-0.2182100220177994,-59.14049019804232,21.91555990244058
10.78972311401929,-0.1302757188781982,-60.70769594668463,-0.2177325696508106,-59.19232221639309,21.8952052419299
10.79792739491674,-0.1304573984845437,-58.3960131310115,-0.2171906550069222,-57.37994992544186,21.87248855758597
10.80613791417865,-0.1303710480501783,-58.54967922493645,-0.2171159286739572,-57.63924762744978,21.85063305862257
10.81435467654852,-0.1302903275144967,-59.07984903770179,-0.2165933665906876,-57.95737161129382,21.8294239885629
10.8225776867735,-0.1301309106770174,-60.51218438435366,-0.2162262161356518,-59.27156783211675,21.80722257599858
10.8308069496043,-0.1302194338415961,-60.77998418822142,-0.215382303782888,-59.20369350855686,21.78612914442175
10.8390424697953,-0.1299627789139834,-58.16676906562713,-0.2154399446779726,-57.13996197097363,21.76438578905373
10.84728425210445,-0.1302121507003225,-60.15282141517871,-0.2147518915149231,-58.61854514501915,21.74131712451273
10.85553230129333,-0.1301219604613478,-60.67334376612139,-0.2145077876256016,-59.26967026496327,21.7204271752291
10.86378662212716,-0.1305451674585909,-60.18852871782408,-0.2140713801581771,-58.93599973213465,21.69872297745731
10.87204721937475,-0.1303145628790072,-60.06249283631324,-0.2139801229802653,-58.72862745882324,21.67558334546586
10.88031409780858,-0.1300039451931359,-60.58137044542018,-0.2138478445741432,-59.34898413214609,21.65422984641305
10.88858726220471,-0.1300839085791045,-58.74913107186266,-0.2133812654467892,-57.73783742592175,21.63288881875695
10.89686671734287,-0.1302892438481764,-60.71052017983124,-0.2128345940780429,-59.29875228980238,21.61031360038209
10.90515246800639,-0.130239523286252,-60.94956744046978,-0.2125000012680073,-59.33944209578179,21.5886571134297
10.91344451898229,-0.1301426479954062,-60.68737365821653,-0.2120935923937705,-59.08740420506355,21.56685981836321
10.92174287506117,-0.1302610737591982,-60.88672307728111,-0.2116328155112911,-59.41755754824469,21.54584591068841
10.93004754103729,-0.1302398012985079,-60.94104865920697,-0.2111651492620129,-59.40884853795757,21.52342780005491
10.9383585217086,-0.1302952297171397,-60.74271347057356,-0.2105057547393543,-59.65878940997239,21.50143753527003
10.94667582187662,-0.1304041247617138,-60.82023869471983,-0.2100827377877188,-59.41127150490683,21.47908277575675
10.9549994463466,-0.1303512144501947,-60.84442176982607,-0.209677372507073,-59.29982553326481,21.4566149307479
10.96332939992739,-0.1305203362664209,-60.79825536671291,-0.2092418527415239,-59.2453339726633,21.43581159381973
10.97166568743152,-0.130407571417082,-60.67845036991162,-0.2090112385221457,-59.30626678470553,21.41395477356116
10.98000831367517,-0.1305067438943436,-60.89088091174187,-0.2085651003538808,-59.41099498549895,21.39367723421569
10.98835728347819,-0.1304927710222612,-60.86835139465995,-0.2082326176067174,-59.44602296945503,21.37030020791512
10.99671260166408,-0.1304720219929678,-59.63243777265316,-0.2078536962936253,-58.48973756639477,21.34943174044226
11.00507427306003,-0.1304841170792323,-60.7930120765317,-0.2074842949302346,-59.26005573232438,21.32716739528661
11.01344230249689,-0.1302865726913085,-58.17348378198513,-0.2071432509317317,-57.27595496149816,21.30417580910429
11.02181669480917,-0.1304159312166972,-60.9010224584928,-0.2065085147335816,-59.31558990754621,21.28377149295898
11.03019745483507,-0.1304159169319116,-60.86690519444942,-0.2061268458294116,-59.71037906223212,21.26160526619245
11.03858458741647,-0.1303922344285026,-58.52668001916933,-0.2060281180625649,-57.54406766051144,21.23972632958984
11.04697809739895,-0.1303974167075416,-60.87237653671052,-0.2053757891484495,-59.50477001765805,21.217820338344
11.05537798963171,-0.1303248634393263,-60.61078355076787,-0.2049041037483672,-59.16644675442199,21.19555632154167
11.06378426896771,-0.1304119471004958,-60.8781990529959,-0.2046316218911599,-59.37988385721584,21.17296226876917
11.07219694026356,-0.1305250443480325,-60.81071277561412,-0.2041015105840407,-59.51930454956751,21.15218541692717
11.08061600837959,-0.1303618997236447,-60.32192756182663,-0.2036900189285,-59.26430099896351,21.12996128263512
11.08904147817978,-0.1303470211998687,-60.62184486763384,-0.203500726838542,-59.31495690747794,21.10804713571767
11.09747335453188,-0.1303502676674114,-60.76091588639103,-0.202922871226186,-59.45981726642444,21.08679867747172
11.10591164230724,-0.1302739213522721,-60.74708866219989,-0.2025310355909068,-59.57336602530336,21.06622517156943
11.11435634638103,-0.1302639011340659,-59.29958788939767,-0.2019648124797714,-58.30469312596696,21.04153952934919
