Designator,Mid X,Mid Y,Rotation,Layer
R49,133.0,-88.75,270.0,top
R5,168.707106,-107.042893,135.0,top
R50,139.0,-49.5,90.0,top
R51,134.0,-88.75,90.0,top
R52,139.0,-71.5,270.0,top
R53,140.0,-71.5,270.0,top
R54,139.0,-62.0,90.0,top
R55,140.0,-62.0,90.0,top
R56,139.0,-85.5,270.0,top
R57,140.0,-85.5,270.0,top
R58,139.0,-76.0,90.0,top
R59,140.0,-76.0,90.0,top
R6,167.292893,-108.457107,135.0,top
R60,141.0,-71.5,270.0,top
R61,141.0,-62.0,90.0,top
R62,141.0,-85.5,270.0,top
R63,141.0,-76.0,90.0,top
R64,137.5,-71.0,0.0,top
R65,137.5,-62.5,0.0,top
R66,137.5,-85.0,0.0,top
R67,137.5,-76.5,0.0,top
R68,136.0,-71.5,90.0,top
R69,136.0,-62.0,270.0,top
R7,165.75,-110.0,135.0,top
R70,136.0,-85.5,90.0,top
R71,136.0,-76.0,270.0,top
R72,135.0,-71.5,90.0,top
R73,135.0,-62.0,90.0,top
R74,135.0,-85.5,90.0,top
R75,135.0,-76.0,90.0,top
R76,151.5,-72.75,0.0,top
R77,153.5,-72.75,0.0,top
R78,171.5,-57.0,90.0,top
R79,151.5,-84.25,0.0,top
R8,166.457107,-109.292893,135.0,top
R80,154.0,-84.5,0.0,top
R81,175.0,-57.0,90.0,top
R82,168.0,-57.0,90.0,top
R83,168.25,-62.5,270.0,top
R84,167.25,-64.25,180.0,top
R85,184.5,-59.5,270.0,top
R86,178.5,-57.0,90.0,top
R87,179.0,-141.5,135.0,top
R88,179.67053,-140.813132,135.0,top
R9,165.042894,-110.707107,135.0,top
RV1,131.75,-68.25,90.0,top
RV2,131.75,-82.25,90.0,top
SW1,189.0,-61.75,270.0,top
SW2,148.25,-114.0,270.0,top
TP1,142.0,-91.75,270.0,top
TP2,160.0,-144.65,0.0,top
U1,173.25,-121.0,135.0,top
U10,148.75,-94.5,270.0,top
U11,138.75,-66.75,90.0,top
U12,138.75,-80.75,90.0,top
U13,147.96,-68.5,180.0,top
U14,147.985,-80.0,180.0,top
U15,173.59,-68.5,0.0,top
U2,175.0,-76.75,0.0,top
U3,180.75,-107.75,315.0,top
U4,131.75,-112.75,0.0,top
U5,131.75,-132.75,0.0,top
U6,131.75,-122.75,270.0,top
U7,148.75,-132.5,90.0,top
U8,137.75,-54.25,90.0,top
U9,132.75,-93.5,90.0,top
Y1,187.419417,-119.229111,135.0,top
