Designator,Mid X,Mid Y,Rotation,Layer
R34,184.65,-66.4,0.0,top
R35,175.739376,-95.05,45.0,top
R36,178.594039,-94.166369,315.0,top
R37,176.15,-106.9,135.0,top
R38,170.75,-74.75,0.0,top
R39,168.500001,-66.5,270.0,top
R4,157.75,-106.5,45.0,top
R40,167.500001,-66.499999,270.0,top
R41,172.5,-120.5,135.0,top
R42,173.17053,-119.813132,135.0,top
R43,156.75,-61.5,270.0,top
R44,156.75,-68.5,270.0,top
R45,162.75,-61.5,90.0,top
R46,161.75,-61.5,90.0,top
R47,161.8,-71.5,270.0,top
R48,162.8,-71.5,270.0,top
R49,158.75,-61.5,90.0,top
R5,158.75,-107.5,45.0,top
R50,157.75,-61.5,90.0,top
R51,157.75,-71.5,270.0,top
R52,158.75,-71.5,270.0,top
R53,140.8,-105.2,180.0,top
R54,140.4,-116.4,180.0,top
R55,141.8,-104.2,0.0,top
R56,141.4,-115.2,0.0,top
R57,141.0,-128.0,180.0,top
R58,140.6,-140.2,180.0,top
R59,142.2,-126.2,0.0,top
R6,159.5,-108.25,45.0,top
R60,141.4,-138.8,0.0,top
R61,140.25,-57.8,180.0,top
R62,140.4,-69.4,180.0,top
R63,141.2,-56.8,0.0,top
R64,141.6,-68.0,0.0,top
R65,140.8,-81.6,180.0,top
R66,140.6,-93.2,180.0,top
R67,140.8,-80.6,0.0,top
R68,141.0,-92.2,0.0,top
R69,138.5,-143.0,45.0,top
R7,160.5,-109.25,45.0,top
R70,138.5,-131.25,45.0,top
R71,138.5,-96.0,45.0,top
R72,179.5,-123.0,270.0,top
R73,138.5,-119.5,45.0,top
R74,138.5,-84.25,45.0,top
R75,185.5,-126.0,90.0,top
R76,138.5,-107.75,45.0,top
R77,138.5,-72.5,45.0,top
R78,138.5,-60.75,45.0,top
R79,164.75,-130.5,0.0,top
R8,161.25,-110.0,45.0,top
R80,168.2,-136.6,0.0,top
R81,168.2,-138.2,0.0,top
R82,166.0,-128.25,0.0,top
R83,185.25,-133.75,90.0,top
R84,174.75,-145.0,270.0,top
R85,173.75,-145.0,90.0,top
R87,179.25,-113.0,180.0,top
R88,178.75,-112.0,0.0,top
R9,162.25,-111.0,45.0,top
R90,180.75,-134.0,270.0,top
R91,183.5,-136.5,0.0,top
SW1,189.25,-116.1,270.0,top
SW2,189.0,-61.75,270.0,top
SW3,189.0,-133.4,270.0,top
U1,182.0,-122.5,180.0,top
U10,136.25,-102.75,225.0,top
U11,136.25,-114.5,225.0,top
U12,136.25,-126.25,225.0,top
U13,136.25,-138.0,225.0,top
U14,136.25,-55.75,225.0,top
U15,136.25,-67.5,225.0,top
U16,136.25,-79.25,225.0,top
U17,136.25,-91.0,225.0,top
U18,189.0,-127.75,270.0,top
U19,174.5,-134.0,135.0,top
U2,166.75,-100.0,135.0,top
U20,155.0,-136.4,90.0,top
U3,184.3875,-82.5,180.0,top
U4,187.0,-106.25,180.0,top
U5,175.75,-88.75,315.0,top
U6,175.0,-74.75,0.0,top
U7,174.96,-64.45,270.0,top
U8,110.85,-52.5,180.0,top
U9,160.25,-66.5,270.0,top
Y1,180.919417,-98.229111,135.0,top
Y2,178.919417,-142.308505,45.0,top
